tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
Noumea Challenger ,2009-01-05 ,Benoit Paire ,Olivier Patience ,2 ,1 ,6 ,1 ,6 , , ,3 ,6 ,2 , ,
Qatar ExxonMobil Open - Doha ,2009-01-05 ,Andy Roddick ,Ivan Navarro ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-05 ,Alexander Peya ,Lukasz Kubot ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-05 ,Karol Beck ,Lamine Ouahab ,2 ,0 ,7 ,6 , , , ,5 ,3 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-05 ,Victor Hanescu ,Viktor Troicki ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-05 ,Michal Przysiezny ,Miguel-Angel Lopez Jaen ,2 ,1 ,0 ,6 ,6 , , ,6 ,3 ,1 , ,
Qatar ExxonMobil Open - Doha ,2009-01-05 ,Philipp Petzschner ,Jeremy Chardy ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-05 ,Marco Chiudinelli ,Jaroslav Pospisil ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-05 ,Andreas Seppi ,Denis Gremelmayr ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-05 ,Sergiy Stakhovsky ,Christophe Rochus ,2 ,1 ,2 ,6 ,7 , , ,6 ,3 ,6 , ,
Qatar ExxonMobil Open - Doha ,2009-01-05 ,Nicolas Devilder ,Abdulla Al Haji ,2 ,0 ,6 ,6 , , , ,0 ,3 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-05 ,Gael Monfils ,Jan Hernych ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Sao Paulo Challenger ,2009-01-05 ,Bruno Echagaray ,Carlos Berlocq ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Sao Paulo Challenger ,2009-01-05 ,Franco Ferreiro ,Leonardo Mayer ,2 ,1 ,6 ,1 ,7 , , ,4 ,6 ,6 , ,
Sao Paulo Challenger ,2009-01-05 ,Ricardo Hocevar ,Eric Gomes ,2 ,0 ,7 ,7 , , , ,5 ,6 , , ,
