tournament,surface,level,federation
Turkey F13 (Antalya) 2018 ,CLAY ,atp ,ATP
USA F9 (Memphis) 2018 ,HARD ,atp ,ATP
Tunisia F13 (Jerba) 2018 ,HARD ,atp ,ATP
"Davis Cup, Group I, 2R, ARG-CHI 3-2 2018 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 2R, CHN-IND 2-3 2018 ",HARD ,DAVIS ,ITF
"Davis Cup, Group I, 2R, COL-BRA 3-2 2018 ",HARD ,DAVIS ,ITF
"Davis Cup, Group I, 2R, CZE-ISR 3-1 2018 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 2R, PAK-UZB 1-4 2018 ",GRASS ,DAVIS ,ITF
"Davis Cup, Group I, 2R, RUS-AUT 1-3 2018 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group I, 2R, SVK-BIH 2-3 2018 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 2R, SWE-POR 3-2 2018 ",I. HARD ,DAVIS ,ITF
"Davis Cup, World Group, QF, CRO-KAZ 3-1 2018 ",CLAY ,DAVIS ,ITF
"Davis Cup, World Group, QF, ESP-GER 3-2 2018 ",CLAY ,DAVIS ,ITF
"Davis Cup, World Group, QF, ITA-FRA 1-3 2018 ",CLAY ,DAVIS ,ITF
"Davis Cup, World Group, QF, USA-BEL 4-0 2018 ",I. HARD ,DAVIS ,ITF
Barletta Challenger 2018 ,CLAY ,challeger ,ATP
"Davis Cup, Group II, 2R, DEN-EGY 1-3 2018 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 2R, FIN-LTU 3-2 2018 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 2R, LIB-HKG 3-1 2018 ",HARD ,DAVIS ,ITF
"Davis Cup, Group II, 2R, MEX-PER 3-1 2018 ",HARD ,DAVIS ,ITF
"Davis Cup, Group II, 2R, PHI-THA 1-4 2018 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, 2R, POL-ZIM 4-1 2018 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 2R, ROU-MAR 5-0 2018 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 2R, URU-VEN 4-1 2018 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, PO, BOL-PUR 5-0 2018 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, PO, EST-TUN 3-2 2018 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, PO, GUA-ESA 3-1 2018 ",HARD ,DAVIS ,ITF
"Davis Cup, Group II, PO, LUX-GEO 5-0 2018 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, PO, NOR-IRL 3-1 2018 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, PO, SLO-TUR 3-2 2018 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, PO, SRI-INA 1-3 2018 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, PO, TPE-IRI 4-0 2018 ",HARD ,DAVIS ,ITF
Egypt F13 (Sharm El Sheikh) 2018 ,HARD ,atp ,ATP
Japan F6 (Matsuyama) 2018 ,HARD ,atp ,ATP
Mexico City Challenger 2018 ,CLAY ,challeger ,ATP
Portugal F7 (Porto) 2018 ,CLAY ,atp ,ATP
Taipei City Challenger 2018 ,CARPET ,challeger ,ATP
Tunisia F14 (Jerba) 2018 ,HARD ,atp ,ATP
Turkey F14 (Antalya) 2018 ,CLAY ,atp ,ATP
US Men's Clay Court Championship - Houston 2018 ,CLAY ,atp ,ATP
Grand Prix Hassan II - Marrakech 2018 ,CLAY ,atp ,ATP
Italy F7 (Santa Margherita Di Pula) 2018 ,CLAY ,atp ,ATP
Kazakhstan F3 (Shymkent) 2018 ,CLAY ,atp ,ATP
USA F10 (Little Rock) 2018 ,HARD ,atp ,ATP
France F7 (La Grande Motte) 2018 ,HARD ,atp ,ATP
Guadalajara Challenger 2018 ,HARD ,challeger ,ATP
Italy F8 (Santa Margherita Di Pula) 2018 ,CLAY ,atp ,ATP
Kazakhstan F4 (Shymkent) 2018 ,CLAY ,atp ,ATP
Monte-Carlo Rolex Masters - Monte-Carlo 2018 ,CLAY ,atp ,ATP
Nanchang Challenger 2018 ,CLAY ,challeger ,ATP
Nigeria F1 (Abuja) 2018 ,HARD ,atp ,ATP
Portugal F8 (Cascais) 2018 ,CLAY ,atp ,ATP
Sarasota Challenger 2018 ,CLAY ,challeger ,ATP
Spain F9 (Madrid) 2018 ,CLAY ,atp ,ATP
Tunis Challenger 2018 ,CLAY ,challeger ,ATP
Tunisia F15 (Jerba) 2018 ,HARD ,atp ,ATP
Turkey F15 (Antalya) 2018 ,CLAY ,atp ,ATP
USA F11 (Orange Park) 2018 ,CLAY ,atp ,ATP
Egypt F14 (Sharm El Sheikh) 2018 ,HARD ,atp ,ATP
Uzbekistan F1 (Bukhara) 2018 ,HARD ,atp ,ATP
Anning Challenger 2018 ,CLAY ,challeger ,ATP
Barcelona Open BancSabadell - Barcelona 2018 ,CLAY ,atp ,ATP
Brazil F1 (Sao Jose do Rio Preto) 2018 ,CLAY ,atp ,ATP
Egypt F15 (Cairo) 2018 ,CLAY ,atp ,ATP
Francavilla Challenger 2018 ,CLAY ,challeger ,ATP
France F8 (Angers) 2018 ,CLAY ,atp ,ATP
Gazprom Hungarian Open - Budapest 2018 ,CLAY ,atp ,ATP
Italy F9 (Santa Margherita Di Pula) 2018 ,CLAY ,atp ,ATP
Kazakhstan F5 (Shymkent) 2018 ,CLAY ,atp ,ATP
Leon Challenger 2018 ,HARD ,challeger ,ATP
Nigeria F2 (Abuja) 2018 ,HARD ,atp ,ATP
Tallahassee Challenger 2018 ,CLAY ,challeger ,ATP
Tunisia F16 (Jerba) 2018 ,HARD ,atp ,ATP
Turkey F16 (Antalya) 2018 ,CLAY ,atp ,ATP
USA F12 (Vero Beach) 2018 ,CLAY ,atp ,ATP
Israel F4 (Ramat Hasharon) 2018 ,HARD ,atp ,ATP
Spain F10 (Majadahonda) 2018 ,CLAY ,atp ,ATP
Uzbekistan F2 (Karshi) 2018 ,HARD ,atp ,ATP
China F4 (Wuhan) 2018 ,HARD ,atp ,ATP
BMW Open - Munich 2018 ,CLAY ,atp ,ATP
Egypt F16 (Cairo) 2018 ,CLAY ,atp ,ATP
France F9 (Grasse) 2018 ,CLAY ,atp ,ATP
Glasgow Challenger 2018 ,I. HARD ,challeger ,ATP
Israel F5 (Akko) 2018 ,HARD ,atp ,ATP
Nigeria F3 (Abuja) 2018 ,HARD ,atp ,ATP
Ostrava Challenger 2018 ,CLAY ,challeger ,ATP
Poland F1 (Wisla) 2018 ,CLAY ,atp ,ATP
Puerto Vallarta Challenger 2018 ,HARD ,challeger ,ATP
Savannah Challenger 2018 ,CLAY ,challeger ,ATP
Seoul Challenger 2018 ,HARD ,challeger ,ATP
TEB BNP Paribas Istanbul Open - Istanbul 2018 ,CLAY ,atp ,ATP
Tunisia F17 (Jerba) 2018 ,HARD ,atp ,ATP
Turkey F17 (Antalya) 2018 ,CLAY ,atp ,ATP
Uganda F1 (Kampala) 2018 ,CLAY ,atp ,ATP
Vietnam F1 (Thua Thien Hue) 2018 ,HARD ,atp ,ATP
Brazil F2 (Sao Paulo) 2018 ,CLAY ,atp ,ATP
Millennium Estoril Open - Estoril 2018 ,CLAY ,atp ,ATP
China F5 (Wuhan) 2018 ,HARD ,atp ,ATP
Aix En Provence Challenger 2018 ,CLAY ,challeger ,ATP
Braga Challenger 2018 ,CLAY ,challeger ,ATP
Gimcheon Challenger 2018 ,HARD ,challeger ,ATP
Karshi Challenger 2018 ,HARD ,challeger ,ATP
Mutua Madrid Open - Madrid 2018 ,CLAY ,atp ,ATP
Poland F2 (Wisla) 2018 ,CLAY ,atp ,ATP
Rome Challenger 2018 ,CLAY ,challeger ,ATP
Sweden F1 (Karlskrona) 2018 ,CLAY ,atp ,ATP
Tunisia F18 (Jerba) 2018 ,HARD ,atp ,ATP
Uganda F2 (Kampala) 2018 ,CLAY ,atp ,ATP
Ukraine F1 (Rivne) 2018 ,CLAY ,atp ,ATP
Vietnam F2 (Thua Thien Hue) 2018 ,HARD ,atp ,ATP
Brazil F3 (Brasilia) 2018 ,CLAY ,atp ,ATP
Egypt F17 (Cairo) 2018 ,CLAY ,atp ,ATP
Hungary F1 (Zalaegerszeg) 2018 ,CLAY ,atp ,ATP
Israel F6 (Sajur) 2018 ,HARD ,atp ,ATP
Mexico F1 (Morelia) 2018 ,HARD ,atp ,ATP
Turkey F18 (Antalya) 2018 ,CLAY ,atp ,ATP
China F6 (Luan) 2018 ,HARD ,atp ,ATP
Argentina F1 (Villa del Dique) 2018 ,CLAY ,atp ,ATP
Bordeaux Challenger 2018 ,CLAY ,challeger ,ATP
Bosnia & Herzegovina F1 (Doboj) 2018 ,CLAY ,atp ,ATP
Brazil F4 (Curitiba) 2018 ,CLAY ,atp ,ATP
Bulgaria F1 (Sozopol) 2018 ,HARD ,atp ,ATP
Busan Challenger 2018 ,HARD ,challeger ,ATP
Czech Republic F1 (Prague) 2018 ,CLAY ,atp ,ATP
Heilbronn Challenger 2018 ,CLAY ,challeger ,ATP
Hungary F2 (Zalaegerszeg) 2018 ,CLAY ,atp ,ATP
Internazionali BNL d'Italia - Rome 2018 ,CLAY ,atp ,ATP
Italy F10 (Casale Monferrato) 2018 ,CLAY ,atp ,ATP
Lisbon Challenger 2018 ,CLAY ,challeger ,ATP
Mexico F2 (Mexico City) 2018 ,HARD ,atp ,ATP
Poland F3 (Ustron) 2018 ,CLAY ,atp ,ATP
Samarkand Challenger 2018 ,CLAY ,challeger ,ATP
Singapore F1 (Singapore) 2018 ,HARD ,atp ,ATP
Spain F11 (Valldoreix) 2018 ,CLAY ,atp ,ATP
Sweden F2 (Kalmar) 2018 ,CLAY ,atp ,ATP
Tunisia F19 (Jerba) 2018 ,HARD ,atp ,ATP
Turkey F19 (Antalya) 2018 ,CLAY ,atp ,ATP
Uganda F3 (Kampala) 2018 ,CLAY ,atp ,ATP
Ukraine F2 (Rivne) 2018 ,CLAY ,atp ,ATP
Vietnam F3 (Thua Thien Hue) 2018 ,HARD ,atp ,ATP
Bosnia & Herzegovina F2 (Brcko) 2018 ,CLAY ,atp ,ATP
Czech Republic F2 (Jablonec Nad Nisou) 2018 ,CLAY ,atp ,ATP
Geneva Open - Geneva 2018 ,CLAY ,atp ,ATP
Hungary F3 (Balatonalmadi) 2018 ,CLAY ,atp ,ATP
Loughborough Challenger 2018 ,I. HARD ,challeger ,ATP
Mestre Challenger 2018 ,CLAY ,challeger ,ATP
Open Parc - Lyon 2018 ,CLAY ,atp ,ATP
Romania F1 (Bucharest) 2018 ,CLAY ,atp ,ATP
Singapore F2 (Singapore) 2018 ,HARD ,atp ,ATP
Spain F12 (Vic) 2018 ,CLAY ,atp ,ATP
Sweden F3 (Lund) 2018 ,CLAY ,atp ,ATP
Tunisia F20 (Jerba) 2018 ,HARD ,atp ,ATP
Turkey F20 (Antalya) 2018 ,CLAY ,atp ,ATP
Uganda F4 (Kampala) 2018 ,CLAY ,atp ,ATP
Ukraine F3 (Rivne) 2018 ,CLAY ,atp ,ATP
Argentina F2 (Villa Maria) 2018 ,CLAY ,atp ,ATP
Italy F11 (Napoli) 2018 ,CLAY ,atp ,ATP
Mexico F3 (Cordoba) 2018 ,HARD ,atp ,ATP
Poland F4 (Ustron) 2018 ,CLAY ,atp ,ATP
French Open - Paris 2018 ,CLAY ,grandSlam ,GS
China F7 (Luzhou) 2018 ,HARD ,atp ,ATP
Argentina F3 (Cordoba) 2018 ,CLAY ,atp ,ATP
Bosnia & Herzegovina F3 (Kiseljak) 2018 ,CLAY ,atp ,ATP
Czech Republic F3 (Most) 2018 ,CLAY ,atp ,ATP
Italy F12 (Reggio Emilia) 2018 ,CLAY ,atp ,ATP
Romania F2 (Bacau) 2018 ,CLAY ,atp ,ATP
Singapore F3 (Singapore) 2018 ,HARD ,atp ,ATP
Spain F13 (Sta. Margarida Montbui) 2018 ,HARD ,atp ,ATP
Tunisia F21 (Jerba) 2018 ,HARD ,atp ,ATP
Turkey F21 (Antalya) 2018 ,CLAY ,atp ,ATP
Vicenza Challenger 2018 ,CLAY ,challeger ,ATP
Zimbabwe F1 (Harare) 2018 ,HARD ,atp ,ATP
Uzbekistan F3 (Andijan) 2018 ,HARD ,atp ,ATP
China F8 (Yinchuan) 2018 ,HARD ,atp ,ATP
Japan F7 (Karuizawa) 2018 ,CLAY ,atp ,ATP
Korea F1 (Sangju) 2018 ,HARD ,atp ,ATP
Shymkent Challenger 2018 ,CLAY ,challeger ,ATP
Spain F14 (Huelva) 2018 ,CLAY ,atp ,ATP
Surbiton Challenger 2018 ,GRASS ,challeger ,ATP
Tunisia F22 (Hammamet) 2018 ,CLAY ,atp ,ATP
Turkey F22 (Antalya) 2018 ,CLAY ,atp ,ATP
Zimbabwe F2 (Harare) 2018 ,HARD ,atp ,ATP
French Open (juniors) 2018 ,CLAY ,grandSlam ,GS
Israel F8 (Tel Aviv) 2018 ,HARD ,atp ,ATP
Italy F13 (Padova) 2018 ,CLAY ,atp ,ATP
Poznan Challenger 2018 ,CLAY ,challeger ,ATP
Prostejov Challenger 2018 ,CLAY ,challeger ,ATP
Uzbekistan F4 (Namangan) 2018 ,HARD ,atp ,ATP
Almaty Challenger 2018 ,CLAY ,challeger ,ATP
Caltanissetta Challenger 2018 ,CLAY ,challeger ,ATP
Hungary F4 (Gyula) 2018 ,CLAY ,atp ,ATP
Israel F9 (Netanya) 2018 ,HARD ,atp ,ATP
Italy F14 (Bergamo) 2018 ,CLAY ,atp ,ATP
Japan F8 (Akishima) 2018 ,CARPET ,atp ,ATP
Korea F2 (Gyeongsan) 2018 ,HARD ,atp ,ATP
Lyon Challenger 2018 ,CLAY ,challeger ,ATP
Mercedes Cup - Stuttgart 2018 ,GRASS ,atp ,ATP
Nottingham Challenger 2018 ,GRASS ,challeger ,ATP
Ricoh Open - 's-Hertogenbosch 2018 ,GRASS ,atp ,ATP
Sri Lanka F1 (Colombo) 2018 ,CLAY ,atp ,ATP
Tunisia F23 (Hammamet) 2018 ,CLAY ,atp ,ATP
Zimbabwe F3 (Harare) 2018 ,HARD ,atp ,ATP
Spain F15 (Martos) 2018 ,HARD ,atp ,ATP
USA F13 (Winston-Salem) 2018 ,HARD ,atp ,ATP
USA F14 (Buffalo) 2018 ,CLAY ,atp ,ATP
AEGON Championships - London 2018 ,GRASS ,atp ,ATP
Belgium F1 (Havre) 2018 ,CLAY ,atp ,ATP
Blois Challenger 2018 ,CLAY ,challeger ,ATP
Fergana Challenger 2018 ,HARD ,challeger ,ATP
France F10 (Toulouse) 2018 ,CLAY ,atp ,ATP
Germany F4 (Kaltenkirchen) 2018 ,CLAY ,atp ,ATP
Gerry Weber Open - Halle 2018 ,GRASS ,atp ,ATP
Guam F1 (Tumon) 2018 ,HARD ,atp ,ATP
Hungary F5 (Budapest) 2018 ,CLAY ,atp ,ATP
Ilkley Challenger 2018 ,GRASS ,challeger ,ATP
Israel F10 (Kiryat Shmona) 2018 ,HARD ,atp ,ATP
Korea F3 (Daegu) 2018 ,HARD ,atp ,ATP
L'Aquila Challenger 2018 ,CLAY ,challeger ,ATP
Poprad Tatry Challenger 2018 ,CLAY ,challeger ,ATP
Portugal F9 (Povoa de Varzim) 2018 ,HARD ,atp ,ATP
Tunisia F24 (Hammamet) 2018 ,CLAY ,atp ,ATP
Canada F3 (Calgary) 2018 ,HARD ,atp ,ATP
Italy F15 (Sassuolo) 2018 ,CLAY ,atp ,ATP
Sri Lanka F2 (Colombo) 2018 ,CLAY ,atp ,ATP
USA F15 (Winston-Salem) 2018 ,HARD ,atp ,ATP
USA F16 (Rochester) 2018 ,CLAY ,atp ,ATP
AEGON International - Eastbourne 2018 ,GRASS ,atp ,ATP
Antalya Cup - Antalya 2018 ,GRASS ,atp ,ATP
Belgium F2 (Arlon) 2018 ,CLAY ,atp ,ATP
Czech Republic F4 (Pardubice) 2018 ,CLAY ,atp ,ATP
France F11 (Montauban) 2018 ,CLAY ,atp ,ATP
Hong Kong F1 (Hong Kong) 2018 ,HARD ,atp ,ATP
Italy F16 (Gaeta) 2018 ,CLAY ,atp ,ATP
Milan Challenger 2018 ,CLAY ,challeger ,ATP
Netherlands F1 (Alkmaar) 2018 ,CLAY ,atp ,ATP
Portugal F10 (Setubal) 2018 ,HARD ,atp ,ATP
Spain F16 (Palma del Rio) 2018 ,HARD ,atp ,ATP
Sri Lanka F3 (Colombo) 2018 ,CLAY ,atp ,ATP
Tunisia F25 (Hammamet) 2018 ,CLAY ,atp ,ATP
Canada F4 (Kelowna) 2018 ,HARD ,atp ,ATP
Germany F5 (Kamen) 2018 ,CLAY ,atp ,ATP
Israel F11 (Kiryat Shmona) 2018 ,HARD ,atp ,ATP
USA F17 (Tulsa) 2018 ,HARD ,atp ,ATP
USA F18 (Pittsburgh) 2018 ,CLAY ,atp ,ATP
Wimbledon 2018 ,GRASS ,grandSlam ,GS
Austria F1 (Telfs) 2018 ,CLAY ,atp ,ATP
Belgium F3 (Lasne) 2018 ,CLAY ,atp ,ATP
China F9 (Shenzhen) 2018 ,HARD ,atp ,ATP
France F12 (Bourg-en-Bresse) 2018 ,CLAY ,atp ,ATP
Hong Kong F2 (Hong Kong) 2018 ,HARD ,atp ,ATP
Italy F17 (Albinea) 2018 ,CLAY ,atp ,ATP
Marburg Challenger 2018 ,CLAY ,challeger ,ATP
Netherlands F2 (Den Haag) 2018 ,CLAY ,atp ,ATP
Recanati Challenger 2018 ,HARD ,challeger ,ATP
Spain F17 (Bakio) 2018 ,HARD ,atp ,ATP
Canada F5 (Saskatoon) 2018 ,HARD ,atp ,ATP
Czech Republic F5 (Usti Nad Orlici) 2018 ,CLAY ,atp ,ATP
Germany F6 (Saarlouis) 2018 ,CLAY ,atp ,ATP
Malaysia F1 (Kuala Lumpur) 2018 ,HARD ,atp ,ATP
Portugal F11 (Castelo Branco) 2018 ,HARD ,atp ,ATP
USA F19 (Wichita) 2018 ,HARD ,atp ,ATP
Bastad Challenger 2018 ,CLAY ,challeger ,ATP
Braunschweig Challenger 2018 ,CLAY ,challeger ,ATP
China F10 (Shenzhen) 2018 ,HARD ,atp ,ATP
Czech Republic F6 (Brno) 2018 ,CLAY ,atp ,ATP
France F13 (Ajaccio) 2018 ,HARD ,atp ,ATP
Georgia F1 (Telavi) 2018 ,CLAY ,atp ,ATP
Italy F18 (Casinalbo) 2018 ,CLAY ,atp ,ATP
Netherlands F3 (Amstelveen) 2018 ,CLAY ,atp ,ATP
Spain F18 (Getxo) 2018 ,CLAY ,atp ,ATP
Wimbledon (juniors) 2018 ,GRASS ,grandSlam ,GS
Winnetka Challenger 2018 ,HARD ,challeger ,ATP
Austria F2 (Kramsach) 2018 ,CLAY ,atp ,ATP
Germany F7 (Bad Schussenried) 2018 ,CLAY ,atp ,ATP
Malaysia F2 (Kuala Lumpur) 2018 ,HARD ,atp ,ATP
Perugia Challenger 2018 ,CLAY ,challeger ,ATP
Winnipeg Challenger 2018 ,HARD ,challeger ,ATP
China F11 (Kunshan) 2018 ,HARD ,atp ,ATP
Astana Challenger 2018 ,HARD ,challeger ,ATP
Austria F3 (Wels) 2018 ,CLAY ,atp ,ATP
Belgium F4 (Knokke) 2018 ,CLAY ,atp ,ATP
Estonia F1 (Parnu) 2018 ,CLAY ,atp ,ATP
France F14 (Uriage) 2018 ,CLAY ,atp ,ATP
Gatineau Challenger 2018 ,HARD ,challeger ,ATP
Georgia F2 (Telavi) 2018 ,CLAY ,atp ,ATP
Morocco F1 (Khemisset) 2018 ,CLAY ,atp ,ATP
San Benedetto Challenger 2018 ,CLAY ,challeger ,ATP
Scheveningen Challenger 2018 ,CLAY ,challeger ,ATP
Spain F19 (Gandia) 2018 ,CLAY ,atp ,ATP
Chinese Taipei F1 (Taipei) 2018 ,HARD ,atp ,ATP
Germany F8 (Kassel) 2018 ,CLAY ,atp ,ATP
Hall of Fame Open - Newport 2018 ,GRASS ,atp ,ATP
Italy F19 (Gubbio) 2018 ,CLAY ,atp ,ATP
Malaysia F3 (Kuala Lumpur) 2018 ,HARD ,atp ,ATP
Plava Laguna Croatia Open - Umag 2018 ,CLAY ,atp ,ATP
SkiStar Swedish Open - Bastad 2018 ,CLAY ,atp ,ATP
USA F19b (Iowa City) 2018 ,HARD ,atp ,ATP
Austria F4 (St. Poelten) 2018 ,CLAY ,atp ,ATP
BB&T Atlanta Open - Atlanta 2018 ,HARD ,atp ,ATP
Belgium F5 (Duinbergen) 2018 ,CLAY ,atp ,ATP
Binghamton Challenger 2018 ,HARD ,challeger ,ATP
France F15 (Troyes) 2018 ,CLAY ,atp ,ATP
Georgia F3 (Telavi) 2018 ,CLAY ,atp ,ATP
German Tennis Championships - Hamburg 2018 ,CLAY ,atp ,ATP
Granby Challenger 2018 ,HARD ,challeger ,ATP
Indonesia F1 (Jakarta) 2018 ,HARD ,atp ,ATP
Lithuania F1 (Vilnius) 2018 ,CLAY ,atp ,ATP
Morocco F2 (Meknes) 2018 ,CLAY ,atp ,ATP
Padova Challenger 2018 ,CLAY ,challeger ,ATP
Prague Challenger 2018 ,CLAY ,challeger ,ATP
Slovakia F1 (Trnava) 2018 ,CLAY ,atp ,ATP
Swiss Open - Gstaad 2018 ,CLAY ,atp ,ATP
Tampere Challenger 2018 ,CLAY ,challeger ,ATP
Chinese Taipei F2 (Taipei) 2018 ,HARD ,atp ,ATP
Ecuador F1 (Manta) 2018 ,HARD ,atp ,ATP
Germany F9 (Wetzlar) 2018 ,CLAY ,atp ,ATP
Italy F20 (Pontedera) 2018 ,CLAY ,atp ,ATP
Portugal F12 (Porto) 2018 ,CLAY ,atp ,ATP
Spain F20 (Denia) 2018 ,CLAY ,atp ,ATP
USA F20 (Champaign) 2018 ,HARD ,atp ,ATP
Segovia Challenger 2018 ,HARD ,challeger ,ATP
Abierto Mexicano - Los Cabos 2018 ,HARD ,atp ,ATP
Austria F5 (Vogau) 2018 ,CLAY ,atp ,ATP
Belgium F6 (Brussels) 2018 ,CLAY ,atp ,ATP
Chengdu Challenger 2018 ,HARD ,challeger ,ATP
Citi Open - Washington 2018 ,HARD ,atp ,ATP
Finland F1 (Kaarina) 2018 ,CLAY ,atp ,ATP
Generali Open - Kitzbuhel 2018 ,CLAY ,atp ,ATP
Indonesia F2 (Jakarta) 2018 ,HARD ,atp ,ATP
Italy F21 (Bolzano) 2018 ,CLAY ,atp ,ATP
Latvia F1 (Riga) 2018 ,CLAY ,atp ,ATP
Lexington Challenger 2018 ,HARD ,challeger ,ATP
Liberec Challenger 2018 ,CLAY ,challeger ,ATP
Morocco F3 (Tanger) 2018 ,CLAY ,atp ,ATP
Portugal F13 (Caldas Da Rainha) 2018 ,CLAY ,atp ,ATP
Sopot Challenger 2018 ,CLAY ,challeger ,ATP
Spain F21 (Xativa) 2018 ,CLAY ,atp ,ATP
USA F21 (Decatur) 2018 ,HARD ,atp ,ATP
Germany F10 (Essen) 2018 ,CLAY ,atp ,ATP
Russia F4 (Kazan) 2018 ,CLAY ,atp ,ATP
Slovakia F2 (Piestany) 2018 ,CLAY ,atp ,ATP
Ecuador F2 (Portoviejo) 2018 ,CLAY ,atp ,ATP
Ireland F1 (Dublin) 2018 ,CARPET ,atp ,ATP
Aptos Challenger 2018 ,HARD ,challeger ,ATP
Austria F6 (Innsbruck) 2018 ,CLAY ,atp ,ATP
Belarus F1 (Minsk) 2018 ,HARD ,atp ,ATP
Belgium F7 (Eupen) 2018 ,CLAY ,atp ,ATP
Finland F2 (Hyvinkaa) 2018 ,CLAY ,atp ,ATP
Indonesia F3 (Jakarta) 2018 ,HARD ,atp ,ATP
Italy F22 (Cornaiano) 2018 ,CLAY ,atp ,ATP
Jinan Challenger 2018 ,HARD ,challeger ,ATP
Morocco F4 (Casablanca) 2018 ,CLAY ,atp ,ATP
Poland F6 (Koszalin) 2018 ,CLAY ,atp ,ATP
Portoroz Challenger 2018 ,HARD ,challeger ,ATP
Portugal F14 (Sintra) 2018 ,HARD ,atp ,ATP
Pullach Challenger 2018 ,CLAY ,challeger ,ATP
Rogers Cup - Toronto 2018 ,HARD ,atp ,ATP
Serbia F1 (Novi Sad) 2018 ,CLAY ,atp ,ATP
Spain F22 (Pozoblanco) 2018 ,HARD ,atp ,ATP
Germany F11 (Trier) 2018 ,CLAY ,atp ,ATP
Romania F8 (Bucharest) 2018 ,CLAY ,atp ,ATP
Russia F5 (Kazan) 2018 ,CLAY ,atp ,ATP
Slovakia F3 (Bratislava) 2018 ,CLAY ,atp ,ATP
USA F22 (Edwardsville) 2018 ,HARD ,atp ,ATP
Belarus F2 (Minsk) 2018 ,HARD ,atp ,ATP
China F12 (Anning) 2018 ,CLAY ,atp ,ATP
Cordenons Challenger 2018 ,CLAY ,challeger ,ATP
Finland F3 (Helsinki) 2018 ,CLAY ,atp ,ATP
Gwangju Challenger 2018 ,HARD ,challeger ,ATP
Italy F23 (Santa Cristina val Gardena) 2018 ,CLAY ,atp ,ATP
Korea F4 (Gimcheon) 2018 ,HARD ,atp ,ATP
Meerbusch Challenger 2018 ,CLAY ,challeger ,ATP
Netherlands F4 (Oldenzaal) 2018 ,CLAY ,atp ,ATP
Poland F7 (Bydgoszcz) 2018 ,CLAY ,atp ,ATP
Portugal F15 (Sintra) 2018 ,HARD ,atp ,ATP
Romania F9 (Pitesti) 2018 ,CLAY ,atp ,ATP
Russia F6 (Moscow) 2018 ,CLAY ,atp ,ATP
Serbia F2 (Novi Sad) 2018 ,CLAY ,atp ,ATP
Spain F23 (Vigo) 2018 ,CLAY ,atp ,ATP
USA F23 (Boston) 2018 ,HARD ,atp ,ATP
Vancouver Challenger 2018 ,HARD ,challeger ,ATP
Western & Southern Open - Cincinnati 2018 ,HARD ,atp ,ATP
Belgium F8 (Koksijde) 2018 ,CLAY ,atp ,ATP
Germany F12 (Karlsruhe) 2018 ,CLAY ,atp ,ATP
Thailand F1 (Nonthaburi) 2018 ,HARD ,atp ,ATP
Belgium F9 (Huy) 2018 ,CLAY ,atp ,ATP
China F13 (Anning) 2018 ,CLAY ,atp ,ATP
Hungary F6 (Gyor) 2018 ,CLAY ,atp ,ATP
Italy F24 (Cuneo) 2018 ,CLAY ,atp ,ATP
Korea F5 (Gimcheon) 2018 ,HARD ,atp ,ATP
Netherlands F5 (Rotterdam) 2018 ,CLAY ,atp ,ATP
Poland F8 (Poznan) 2018 ,CLAY ,atp ,ATP
Portugal F16 (Sintra) 2018 ,HARD ,atp ,ATP
Romania F10 (Curtea de Arges) 2018 ,CLAY ,atp ,ATP
Russia F7 (Moscow) 2018 ,CLAY ,atp ,ATP
Serbia F3 (Novi Sad) 2018 ,CLAY ,atp ,ATP
Spain F24 (Santander) 2018 ,CLAY ,atp ,ATP
Switzerland F3 (Sion) 2018 ,CLAY ,atp ,ATP
Winston-Salem Open - Winston-Salem 2018 ,HARD ,atp ,ATP
Belarus F3 (Minsk) 2018 ,HARD ,atp ,ATP
Germany F13 (Ueberlingen) 2018 ,CLAY ,atp ,ATP
U.S. Open - New York 2018 ,HARD ,grandSlam ,GS
Thailand F2 (Nonthaburi) 2018 ,HARD ,atp ,ATP
Belgium F10 (Damme) 2018 ,CLAY ,atp ,ATP
China F14 (Anning) 2018 ,CLAY ,atp ,ATP
Como Challenger 2018 ,CLAY ,challeger ,ATP
Hungary F7 (Szekesfehervar) 2018 ,CLAY ,atp ,ATP
Italy F25 (Piombino) 2018 ,HARD ,atp ,ATP
Korea F6 (Anseong) 2018 ,CLAY ,atp ,ATP
Netherlands F6 (Haren) 2018 ,CLAY ,atp ,ATP
Romania F11 (Chitila) 2018 ,CLAY ,atp ,ATP
