tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
Adidas International - Sydney ,2003-01-07 ,Andy Roddick ,Tommy Robredo ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Adidas International - Sydney ,2003-01-07 ,Paradorn Srichaphan ,Scott Draper ,2 ,1 ,6 ,3 ,6 , , ,4 ,6 ,1 , ,
Adidas International - Sydney ,2003-01-07 ,Juan Ignacio Chela ,Albert Costa ,2 ,0 ,7 ,6 , , , ,6 ,1 , , ,
Adidas International - Sydney ,2003-01-07 ,Mardy Fish ,Richard Krajicek ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Adidas International - Sydney ,2003-01-07 ,Nikolay Davydenko ,Raphael Durek ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Heineken Open - Auckland ,2003-01-07 ,Gustavo Kuerten ,Martin Verkerk ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Heineken Open - Auckland ,2003-01-07 ,Jan-Michael Gambill ,Michel Kratochvil ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
Heineken Open - Auckland ,2003-01-07 ,Guillermo Coria ,David Sanchez-Munoz ,2 ,1 ,2 ,6 ,6 , , ,6 ,2 ,4 , ,
Heineken Open - Auckland ,2003-01-07 ,Jiri Novak ,Robert Kendrick ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
Heineken Open - Auckland ,2003-01-07 ,Mariano Zabaleta ,David Nalbandian ,2 ,1 ,2 ,7 ,6 , , ,6 ,6 ,3 , ,
Heineken Open - Auckland ,2003-01-07 ,Stefan Koubek ,Mark Nielsen ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Heineken Open - Auckland ,2003-01-07 ,Raemon Sluiter ,Davide Sanguinetti ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Heineken Open - Auckland ,2003-01-07 ,Michael Russell ,Radek Stepanek ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Heineken Open - Auckland ,2003-01-07 ,Fernando Gonzalez ,Feliciano Lopez ,2 ,1 ,3 ,7 ,6 , , ,6 ,6 ,2 , ,
Heineken Open - Auckland ,2003-01-07 ,Robby Ginepri ,Agustin Calleri ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
Adidas International - Sydney ,2003-01-08 ,Marat Safin ,Jarkko Nieminen ,2 ,1 ,3 ,6 ,6 , , ,6 ,1 ,2 , ,
Adidas International - Sydney ,2003-01-08 ,Juan Carlos Ferrero ,Mikhail Youzhny ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Adidas International - Sydney ,2003-01-08 ,Franco Squillari ,Nikolay Davydenko ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,
Adidas International - Sydney ,2003-01-08 ,Wayne Ferreira ,Juan Ignacio Chela ,2 ,1 ,6 ,6 ,6 , , ,7 ,4 ,4 , ,
Adidas International - Sydney ,2003-01-08 ,Rainer Schuettler ,Gaston Gaudio ,2 ,0 ,7 ,6 , , , ,6 ,0 , , ,
Adidas International - Sydney ,2003-01-08 ,Hyung-Taik Lee ,Andy Roddick ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
Adidas International - Sydney ,2003-01-08 ,Paradorn Srichaphan ,Max Mirnyi ,2 ,1 ,3 ,6 ,6 , , ,6 ,4 ,4 , ,
Adidas International - Sydney ,2003-01-08 ,Mardy Fish ,Carlos Moya ,2 ,1 ,7 ,4 ,6 , , ,6 ,6 ,4 , ,
Adidas International - Sydney ,2003-01-09 ,Juan Carlos Ferrero ,Paradorn Srichaphan ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
Adidas International - Sydney ,2003-01-09 ,Wayne Ferreira ,Franco Squillari ,2 ,0 ,6 ,6 , , , ,0 ,4 , , ,
Adidas International - Sydney ,2003-01-09 ,Rainer Schuettler ,Mardy Fish ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Adidas International - Sydney ,2003-01-09 ,Hyung-Taik Lee ,Marat Safin ,1 ,0 ,w , , , , , , , , ,
Heineken Open - Auckland ,2003-01-09 ,Gustavo Kuerten ,Michael Russell ,2 ,1 ,4 ,6 ,6 , , ,6 ,4 ,2 , ,
Heineken Open - Auckland ,2003-01-09 ,Dominik Hrbaty ,Jan-Michael Gambill ,2 ,1 ,6 ,6 ,7 , , ,3 ,7 ,6 , ,
Heineken Open - Auckland ,2003-01-09 ,Guillermo Coria ,Fernando Vicente ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Heineken Open - Auckland ,2003-01-09 ,Jiri Novak ,Robby Ginepri ,2 ,1 ,1 ,7 ,6 , , ,6 ,6 ,3 , ,
Heineken Open - Auckland ,2003-01-09 ,Mariano Zabaleta ,Vince Spadea ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
