tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"AAPT Championships - Adelaide" ,2004-01-09 ,"Mark Merklein/Vince Spadea" ,"Simon Aspelin/Massimo Bertolini" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
"Qatar Open - Doha" ,2004-01-09 ,"Martin Damm/Cyril Suk" ,"Stefan Koubek/Andy Roddick" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
"Tata Open - Chennai" ,2004-01-09 ,"Mariusz Fyrstenberg/Marcin Matkowski" ,"Julian Knowle/Michael Kohlmann" ,2 ,0 ,7 ,7 , , , ,5 ,6 , , ,
"AAPT Championships - Adelaide" ,2004-01-10 ,"Bob Bryan/Mike Bryan" ,"Mark Merklein/Vince Spadea" ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
"AAPT Championships - Adelaide" ,2004-01-10 ,"Arnaud Clement/Michael Llodra" ,"Robbie Koenig/Petr Pala" ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
"Tata Open - Chennai" ,2004-01-10 ,"Jonathan Erlich/Andy Ram" ,"Alex Lopez Moron/Albert Portas" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
"Tata Open - Chennai" ,2004-01-10 ,"Rafael Nadal/Tommy Robredo" ,"Mariusz Fyrstenberg/Marcin Matkowski" ,2 ,1 ,6 ,6 ,6 , , ,4 ,7 ,3 , ,
"AAPT Championships - Adelaide" ,2004-01-11 ,"Bob Bryan/Mike Bryan" ,"Arnaud Clement/Michael Llodra" ,2 ,0 ,7 ,6 , , , ,5 ,3 , , ,
"Tata Open - Chennai" ,2004-01-11 ,"Rafael Nadal/Tommy Robredo" ,"Jonathan Erlich/Andy Ram" ,2 ,1 ,7 ,4 ,6 , , ,6 ,6 ,3 , ,
"Adidas International - Sydney" ,2004-01-12 ,"Wayne Arthurs/Paul Hanley" ,"Lucas Arnold Ker/Mariano Hood" ,2 ,0 ,7 ,6 , , , ,5 ,3 , , ,
"Adidas International - Sydney" ,2004-01-12 ,"Jonas Bjorkman/Todd Woodbridge" ,"Albert Costa/Feliciano Lopez" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
"Adidas International - Sydney" ,2004-01-12 ,"Agustin Calleri/Filippo Volandri" ,"Mark Knowles/Daniel Nestor" ,2 ,0 ,7 ,7 , , , ,5 ,5 , , ,
"Adidas International - Sydney" ,2004-01-12 ,"Olivier Rochus/Kevin Ullyett" ,"Ashley Fisher/Todd Perry" ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
"Heineken Open - Auckland" ,2004-01-12 ,"Jeff Coetzee/Chris Haggard" ,"Tomas Cibulec/Leos Friedl" ,2 ,1 ,6 ,3 ,6 , , ,3 ,6 ,2 , ,
