tournament,date,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,level,surface,federation
"Brisbane International - Brisbane" ,2019-01-02 00:00:00 ,"Milos Raonic" ,"Miomir Kecmanovic" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,,Hard,atp,ATP
"Brisbane International - Brisbane" ,2019-01-02 00:00:00 ,"Jeremy Chardy" ,"Nick Kyrgios" ,2 ,1 ,6 ,6 ,6 , , ,7 ,2 ,3 , ,,Hard,atp,ATP
"Brisbane International - Brisbane" ,2019-01-02 00:00:00 ,"Daniil Medvedev" ,"Andy Murray" ,2 ,0 ,7 ,6 , , , ,5 ,2 , , ,,Hard,atp,ATP
"Brisbane International - Brisbane" ,2019-01-02 00:00:00 ,"Alex De Minaur" ,"Jordan Thompson" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,,Hard,atp,ATP
"M15 Anning" ,2019-01-02 00:00:00 ,"Jung Woong Na" ,"Ruikai Wang" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,,Clay,futures,ITF
"M15 Anning" ,2019-01-02 00:00:00 ,"Hao Wu" ,"Wei Qiang Zheng" ,2 ,1 ,4 ,7 ,6 , , ,6 ,5 ,3 , ,,Clay,futures,ITF
"M15 Anning" ,2019-01-02 00:00:00 ,"Zhe Zhou" ,"Li Wie Tan" ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,,Clay,futures,ITF
"M15 Anning" ,2019-01-02 00:00:00 ,"Ti Chen" ,"Anirudh Chandrasekar" ,2 ,1 ,4 ,6 ,6 , , ,6 ,1 ,4 , ,,Clay,futures,ITF
"M15 Anning" ,2019-01-02 00:00:00 ,"Luca Castelnuovo" ,"Kazuma Kawachi" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,,Clay,futures,ITF
"M15 Anning" ,2019-01-02 00:00:00 ,"N. Vijay Sundar Prashanth" ,"Wei De Lin" ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,,Clay,futures,ITF
"M15 Anning" ,2019-01-02 00:00:00 ,"Taisei Ichikawa" ,"Ye Cong Mo" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,,Clay,futures,ITF
"M15 Anning" ,2019-01-02 00:00:00 ,"Kazuki Nishiwaki" ,"Rui Xuan Wang" ,2 ,1 ,1 ,6 ,6 , , ,6 ,2 ,4 , ,,Clay,futures,ITF
"M15 Anning" ,2019-01-02 00:00:00 ,"Yuichiro Inui" ,"Shi Hong Zeng" ,2 ,1 ,6 ,6 ,6 , , ,3 ,7 ,1 , ,,Clay,futures,ITF
"M15 Anning" ,2019-01-02 00:00:00 ,"Haitong Xia" ,"Sora Fukuda" ,2 ,1 ,6 ,3 ,6 , , ,4 ,6 ,3 , ,,Clay,futures,ITF
"M25 Hong Kong" ,2019-01-02 00:00:00 ,"Takashi Saito" ,"Benjamin Hassan" ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,,Hard,futures,ITF
"M25 Hong Kong" ,2019-01-02 00:00:00 ,"Carlos Boluda Purkiss" ,"Shuichi Sekiguchi" ,2 ,0 ,7 ,6 , , , ,5 ,4 , , ,,Hard,futures,ITF
"M25 Hong Kong" ,2019-01-02 00:00:00 ,"Julian Lenz" ,"Pak Long Yeung" ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,,Hard,futures,ITF
"M25 Hong Kong" ,2019-01-02 00:00:00 ,"Yan Bai" ,"Ching Lam" ,2 ,0 ,6 ,6 , , , ,2 ,0 , , ,,Hard,futures,ITF
"M25 Hong Kong" ,2019-01-02 00:00:00 ,"Jeremy Jahn" ,"Xin Gao" ,2 ,0 ,6 ,6 , , , ,0 ,3 , , ,,Hard,futures,ITF
"M25 Hong Kong" ,2019-01-02 00:00:00 ,"Yuki Mochizuki" ,"Hong Kit Wong" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,,Hard,futures,ITF
"M25 Hong Kong" ,2019-01-02 00:00:00 ,"Wishaya Trongcharoenchaikul" ,"Anthony Jackie Tang" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,,Hard,futures,ITF
"M25 Hong Kong" ,2019-01-02 00:00:00 ,"Kuan Yi Lee" ,"Zihao Xia" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,,Hard,futures,ITF
"M25 Hong Kong" ,2019-01-02 00:00:00 ,"Alen Avidzba" ,"Chien Hsun Lo" ,2 ,0 ,6 ,6 , , , ,0 ,4 , , ,,Hard,futures,ITF
"M25 Hong Kong" ,2019-01-02 00:00:00 ,"Evan Furness" ,"Riccardo Bonadio" ,2 ,1 ,1 ,7 ,6 , , ,6 ,6 ,2 , ,,Hard,futures,ITF
"M25 Hong Kong" ,2019-01-02 00:00:00 ,"Shintaro Imai" ,"Yecong He" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,,Hard,futures,ITF
"M25 Hong Kong" ,2019-01-02 00:00:00 ,"Jumpei Yamasaki" ,"Zsombor Piros" ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,,Hard,futures,ITF
"M25 Hong Kong" ,2019-01-02 00:00:00 ,"Alexandre Muller" ,"Yu Hsiou Hsu" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,,Hard,futures,ITF
"M25 Hong Kong" ,2019-01-02 00:00:00 ,"Denis Yevseyev" ,"Jordi Samper Montana" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,,Hard,futures,ITF
"M25 Hong Kong" ,2019-01-02 00:00:00 ,"Arthur Rinderknech" ,"Corentin Denolly" ,2 ,1 ,6 ,4 ,6 , , ,4 ,6 ,3 , ,,Hard,futures,ITF
"M25 Hong Kong" ,2019-01-02 00:00:00 ,"Agustin Velotti" ,"Seong Chan Hong" ,2 ,1 ,3 ,6 ,6 , , ,6 ,0 ,3 , ,,Hard,futures,ITF
"M25 Los Angeles" ,2019-01-02 00:00:00 ,"Martin Redlicki" ,"Alexios Halebian" ,2 ,0 ,7 ,7 , , , ,6 ,6 , , ,,Hard,futures,ITF
"M25 Los Angeles" ,2019-01-02 00:00:00 ,"Brandon Nakashima" ,"Maxime Cressy" ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,,Hard,futures,ITF
"M25 Los Angeles" ,2019-01-02 00:00:00 ,"Logan Smith" ,"Tyler Lu" ,2 ,0 ,7 ,7 , , , ,6 ,6 , , ,,Hard,futures,ITF
"M25 Los Angeles" ,2019-01-02 00:00:00 ,"Alexander Lebedev" ,"Pavel Krainik" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,,Hard,futures,ITF
"M25 Los Angeles" ,2019-01-02 00:00:00 ,"George Goldhoff" ,"Aziz Dougaz" ,2 ,1 ,7 ,4 ,7 , , ,6 ,6 ,6 , ,,Hard,futures,ITF
"M25 Los Angeles" ,2019-01-02 00:00:00 ,"Luis Patino" ,"Henry Craig" ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,,Hard,futures,ITF
"M25 Los Angeles" ,2019-01-02 00:00:00 ,"Emilio Gomez" ,"Alexander Cozbinov" ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,,Hard,futures,ITF
"M25 Los Angeles" ,2019-01-02 00:00:00 ,"Alec Adamson" ,"Manuel Guinard" ,2 ,1 ,6 ,3 ,7 , , ,2 ,6 ,6 , ,,Hard,futures,ITF
"M25 Los Angeles" ,2019-01-02 00:00:00 ,"Jenson Brooksby" ,"Evan Hoyt" ,2 ,1 ,5 ,6 ,6 , , ,7 ,1 ,4 , ,,Hard,futures,ITF
"M25 Los Angeles" ,2019-01-02 00:00:00 ,"Brandon Holt" ,"Lloyd Glasspool" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,,Hard,futures,ITF
"Noumea Challenger" ,2019-01-02 00:00:00 ,"Colin Sinclair" ,"Blaz Rola" ,2 ,0 ,7 ,6 , , , ,5 ,4 , , ,,Hard,challeger,ATP
