tournament,date,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,surface,level,federation
Orlando Challenger 2019 ,2019-01-02 00:00:00,Kevin King ,Tom Jomby ,2,0,6,6, , , ,3,0, , , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-02 00:00:00,Gijs Brouwer ,Bernabe Zapata Miralles ,2,1,1,6,6, , ,6,1,2, , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-02 00:00:00,Ulises Blanch ,Thiemo de Bakker ,2,1,7,4,6, , ,5,6,3, , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-02 00:00:00,Mathias Bourgue ,Lucas Miedler ,2,1,6,2,6, , ,4,6,3, , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-02 00:00:00,Stefan Kozlov ,Mitchell Krueger ,2,1,6,5,6, , ,2,7,3, , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-02 00:00:00,Nino Serdarusic ,Scott Griekspoor ,2,0,7,6, , , ,6,1, , , ,HARD ,challeger ,ATP
Brisbane International - Brisbane 2019 ,2019-01-03 00:00:00,Jo Wilfried Tsonga ,Taro Daniel ,2,0,7,6, , , ,6,3, , , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2019 ,2019-01-03 00:00:00,Jeremy Chardy ,Yasutaka Uchiyama ,2,1,6,3,7, , ,4,6,6, , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2019 ,2019-01-03 00:00:00,Kei Nishikori ,Grigor Dimitrov ,2,0,7,7, , , ,5,5, , , ,HARD ,atp ,ATP
M25 Los Angeles 2019 ,2019-01-03 00:00:00,Brandon Holt ,Luis Patino ,2,1,3,6,6, , ,6,0,1, , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-03 00:00:00,Emilio Gomez ,Keenan Mayo ,2,0,6,6, , , ,0,1, , , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-03 00:00:00,Govind Nanda ,Alec Adamson ,2,0,6,6, , , ,2,3, , , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-03 00:00:00,Daniel Nguyen ,Alexander Lebedev ,2,0,7,6, , , ,6,4, , , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-03 00:00:00,Patrick Kypson ,Peter Kobelt ,2,0,6,6, , , ,1,1, , , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-03 00:00:00,Martin Redlicki ,George Goldhoff ,2,0,6,6, , , ,2,4, , , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-03 00:00:00,Dmitry Popko ,Logan Smith ,2,1,6,6,6, , ,7,4,2, , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-03 00:00:00,Jenson Brooksby ,Brandon Nakashima ,2,1,2,7,7, , ,6,6,5, , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-03 00:00:00,Dmitry Popko ,Siem Woldeab ,2,0,6,6, , , ,4,1, , , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-03 00:00:00,Peter Kobelt ,Errol Smith ,2,0,7,6, , , ,6,4, , , ,HARD ,futures ,ITF
Orlando Challenger 2019 ,2019-01-03 00:00:00,Marcos Giron ,Dennis Novikov ,2,0,6,6, , , ,1,2, , , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-03 00:00:00,Michael Redlicki ,Kevin King ,2,1,2,6,6, , ,6,2,2, , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-03 00:00:00,Ulises Blanch ,Gijs Brouwer ,2,1,2,6,6, , ,6,3,3, , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-03 00:00:00,Darian King ,Johan Sebastien Tatlot ,2,0,6,6, , , ,3,3, , , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-03 00:00:00,Mathias Bourgue ,Sam Riffice ,2,1,6,5,6, , ,4,7,2, , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-03 00:00:00,Norbert Gombos ,Evan Song ,2,1,6,7,7, , ,7,5,6, , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-03 00:00:00,Gastao Elias ,Roberto Cid ,2,0,6,6, , , ,0,4, , , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-03 00:00:00,Nino Serdarusic ,Stefan Kozlov ,2,0,6,7, , , ,2,5, , , ,HARD ,challeger ,ATP
ASB Classic - Auckland 2019 ,2019-01-04 00:00:00,Pablo Cuevas ,Stephane Robert ,2,0,6,6, , , ,3,2, , , ,HARD ,atp ,ATP
ASB Classic - Auckland 2019 ,2019-01-04 00:00:00,Bradley Klahn ,Philipp Oswald ,2,0,7,6, , , ,6,4, , , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2019 ,2019-01-04 00:00:00,Daniil Medvedev ,Milos Raonic ,2,1,6,6,6, , ,7,3,4, , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2019 ,2019-01-04 00:00:00,Jo Wilfried Tsonga ,Alex De Minaur ,2,0,6,7, , , ,4,6, , , ,HARD ,atp ,ATP
M25 Los Angeles 2019 ,2019-01-04 00:00:00,Emilio Gomez ,Govind Nanda ,2,0,6,7, , , ,4,6, , , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-04 00:00:00,Patrick Kypson ,Martin Redlicki ,2,0,7,6, , , ,6,4, , , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-04 00:00:00,Jenson Brooksby ,Dmitry Popko ,2,0,6,6, , , ,3,0, , , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-04 00:00:00,Brandon Holt ,Daniel Nguyen ,2,0,6,6, , , ,4,2, , , ,HARD ,futures ,ITF
Orlando Challenger 2019 ,2019-01-04 00:00:00,Darian King ,Norbert Gombos ,2,1,7,3,6, , ,5,6,3, , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-04 00:00:00,Michael Redlicki ,Ulises Blanch ,2,1,7,4,7, , ,6,6,6, , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-04 00:00:00,Marcos Giron ,Mathias Bourgue ,2,0,6,6, , , ,2,2, , , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-04 00:00:00,Gastao Elias ,Nino Serdarusic ,2,0,6,6, , , ,3,3, , , ,HARD ,challeger ,ATP
ASB Classic - Auckland 2019 ,2019-01-05 00:00:00,Thomas Fabbiano ,Finn Tearney ,2,0,6,6, , , ,3,4, , , ,HARD ,atp ,ATP
ASB Classic - Auckland 2019 ,2019-01-05 00:00:00,Maximilian Marterer ,Daniel Masur ,2,0,7,6, , , ,6,1, , , ,HARD ,atp ,ATP
ASB Classic - Auckland 2019 ,2019-01-05 00:00:00,Ugo Humbert ,Franko Skugor ,2,0,6,6, , , ,3,4, , , ,HARD ,atp ,ATP
ASB Classic - Auckland 2019 ,2019-01-05 00:00:00,Roberto Marcora ,Ajeet Rai ,2,1,3,7,6, , ,6,6,4, , ,HARD ,atp ,ATP
ASB Classic - Auckland 2019 ,2019-01-05 00:00:00,Mackenzie Mcdonald ,Tim Puetz ,2,0,6,7, , , ,2,6, , , ,HARD ,atp ,ATP
ASB Classic - Auckland 2019 ,2019-01-05 00:00:00,Laslo Djere ,Horacio Zeballos ,2,0,7,6, , , ,5,2, , , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2019 ,2019-01-05 00:00:00,Kei Nishikori ,Jeremy Chardy ,2,0,6,6, , , ,2,2, , , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2019 ,2019-01-05 00:00:00,Daniil Medvedev ,Jo Wilfried Tsonga ,2,0,7,6, , , ,6,2, , , ,HARD ,atp ,ATP
M25 Los Angeles 2019 ,2019-01-05 00:00:00,Brandon Holt ,Jenson Brooksby ,2,1,6,6,6, , ,7,1,4, , ,HARD ,futures ,ITF
Orlando Challenger 2019 ,2019-01-05 00:00:00,Marcos Giron ,Gastao Elias ,2,0,6,7, , , ,3,5, , , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-05 00:00:00,Darian King ,Michael Redlicki ,2,0,6,6, , , ,4,2, , , ,HARD ,challeger ,ATP
Sydney International - Sydney 2019 ,2019-01-05 00:00:00,Christian Garin ,Pedro Sousa ,2,0,6,6, , , ,3,3, , , ,HARD ,atp ,ATP
Sydney International - Sydney 2019 ,2019-01-05 00:00:00,Taro Daniel ,Lukas Rosol ,2,0,6,7, , , ,4,5, , , ,HARD ,atp ,ATP
Sydney International - Sydney 2019 ,2019-01-05 00:00:00,Reilly Opelka ,Pablo Andujar ,2,0,6,7, , , ,1,5, , , ,HARD ,atp ,ATP
Sydney International - Sydney 2019 ,2019-01-05 00:00:00,Yoshihito Nishioka ,Jason Murray Kubler ,2,1,5,6,6, , ,7,1,3, , ,HARD ,atp ,ATP
Sydney International - Sydney 2019 ,2019-01-05 00:00:00,Andrey Rublev ,Evgeny Donskoy ,2,0,6,6, , , ,1,4, , , ,HARD ,atp ,ATP
